Timestamp,AccX_G,AccY_G,AccZ_G,GyroX_DPS,GyroY_DPS,GyroZ_DPS,Lat,Lon,Altitude,Sats,PlantStat
168,0.1589,-0.2688,1.2283,7.22,-1.40,1.48,0.0,0.0,0.0,0,0
268,0.1885,-0.0813,1.0569,-0.24,-0.48,13.55,0.0,0.0,0.0,0,0
368,0.1870,-0.0999,1.0376,1.38,0.60,19.10,0.0,0.0,0.0,0,0
468,0.1931,-0.0623,1.0483,2.08,1.12,25.22,0.0,0.0,0.0,0,0
568,0.2197,-0.0586,1.0439,1.23,1.63,17.40,0.0,0.0,0.0,0,0
668,0.1257,-0.0649,1.0381,-3.55,2.11,-15.34,0.0,0.0,0.0,0,0
768,0.2078,-0.0630,1.0669,-2.38,2.19,-11.99,0.0,0.0,0.0,0,0
868,0.1599,-0.0889,1.0374,-0.46,1.44,-0.34,0.0,0.0,0.0,0,0
968,0.1960,-0.0894,1.0371,-0.23,0.33,-0.82,0.0,0.0,0.0,0,0
1068,0.1936,-0.0859,1.0339,-0.73,1.75,-0.37,0.0,0.0,0.0,0,0
1168,0.1936,-0.0879,1.0349,-0.85,2.64,-0.10,0.0,0.0,0.0,0,0
1268,0.1890,-0.0823,1.0386,-1.39,1.93,-0.33,0.0,0.0,0.0,0,0
1368,0.1951,-0.0754,1.0354,-3.04,3.16,-0.18,0.0,0.0,0.0,0,0
1468,0.1995,-0.0857,1.0203,-2.87,5.07,-0.64,0.0,0.0,0.0,0,0
1568,0.1880,-0.0764,1.0217,3.58,7.59,-2.96,0.0,0.0,0.0,0,0
1668,0.1685,-0.0996,1.0537,-3.81,3.00,-0.15,0.0,0.0,0.0,0,0
1768,0.1755,-0.0808,1.0391,0.71,3.89,-1.00,0.0,0.0,0.0,0,0
1868,0.1506,-0.0640,1.0396,-1.58,8.92,-1.82,0.0,0.0,0.0,0,0
1968,0.1418,-0.0984,1.0508,-0.54,3.43,-10.02,0.0,0.0,0.0,0,0
2068,0.1909,-0.0598,1.0042,-31.72,-14.59,3.20,0.0,0.0,0.0,0,0
2168,0.1782,-0.0867,1.0410,-1.60,1.09,-0.47,0.0,0.0,0.0,0,0
2268,0.1936,-0.0864,1.0283,-1.34,2.39,-0.09,0.0,0.0,0.0,0,0
2368,0.1821,-0.0820,1.0396,-0.95,1.54,0.21,0.0,0.0,0.0,0,0
2468,0.1868,-0.0886,1.0422,-2.05,2.56,-0.16,0.0,0.0,0.0,0,0
2568,0.1897,-0.0847,1.0322,-1.27,1.49,-0.19,0.0,0.0,0.0,0,0
2668,0.1858,-0.0867,1.0437,-1.36,3.00,0.41,0.0,0.0,0.0,0,0
2768,0.1909,-0.0811,1.0413,-1.98,-0.10,-0.20,0.0,0.0,0.0,0,0
2868,0.2124,-0.0691,1.0457,-2.25,1.69,-0.16,0.0,0.0,0.0,0,0
2968,0.1978,-0.0864,1.0364,-1.91,-0.11,-0.08,0.0,0.0,0.0,0,0
3068,0.1584,-0.0845,1.1113,-3.15,12.84,0.42,0.0,0.0,0.0,0,0
3168,0.1853,-0.0852,1.0383,-1.97,5.31,-0.18,0.0,0.0,0.0,0,0
3268,0.1528,-0.0879,1.0574,-1.66,1.34,0.21,0.0,0.0,0.0,0,0
3368,0.1853,-0.0840,1.0369,-1.36,2.66,0.28,0.0,0.0,0.0,0,0
3468,0.1863,-0.0850,1.0366,-1.93,3.40,0.05,0.0,0.0,0.0,0,0
3568,0.1868,-0.0933,1.0449,-1.33,3.08,0.05,0.0,0.0,0.0,0,0
